CIP1,CIP2,CIP3,LIBELLE,CESSION,PUBLIC,CODTVA
8111503,3000000689509,,ACCUZON 1G INJ FL/1,1948,2610,0
1536661,3000000706541,3000000706541.0,ACFAMOL 40MG IM/IV INJ/1+SOL/1,1066,1430,0
1207581,9100001207581,3000000461648.0,ACILOC 25MG/ML INJ AMP/2ML B/5,3206,4295,0
8304426,9100000715921,,"ACINET S.INJ 1,2G FL/5ML B/1",1459,1955,0
2290143,3583313242178,3583313242178.0,ACUPAN SOL INJ 2ML B/5 AFR,2432,3260,0
1599401,9100001599401,,ADCARB 150MG INJ B/1,8072,10825,0
1599411,9100001599411,,ADCARB 450MG INJ B/1,17739,23785,0
1599421,9100001599421,,ADCIST 50MG INJ B/1,3588,4810,0
1609521,9100001609521,,ADCOV 50MG INJ B/1,790,1060,0
3195317,3400931953173,,ADRENALINE AGT 1MG 1ML B/10,8173,10960,0
1599441,9100001599441,,ADRIB 50MG INJ B/1,3658,4905,0
1599471,9100001599471,,ADVIN 50MG INJ B/1,20000,55495,0
3477547,3400934775475,,AETOXISCLEROL TAM 2% IV B/5,16860,22610,0
1306211,3990000002746,,AKUROSE 20MG/ML INJ A/5,7763,10410,0
8149931,9100000959821,,ALCER 40MG INJ B/1,2625,3520,0
1539441,3990000010529,,ALLESTENE 4MG/ML SOL INJ B/3,1946,2605,0
1307631,3000000564660,3000000564660.0,ALLNAT 120MG IV PDR SOLINJ F/1,1809,2425,0
1307621,3000000564653,3000000564653.0,ALLNAT 60MG IV PDR SOL INJ F/1,1083,1450,0
1523911,9100001523911,,AMIFER IV 100MG/5ML B/5,10322,13840,0
2485924,3990000018549,,AMIKA 100MG/2ML INJ B/1,1794,2405,0
2485885,3990000018556,,AMIKA 500MG/2ML INJ B/1,2409,3230,0
1559771,3990000012691,,AMPHONEX 50MG INJ B/1,38475,51595,0
8054461,9100000612211,8054461.0,AMPICILL UBI 1G PDR SOL INJ/50,11805,15830,0
1847641,9100001847641,,AMPICILLINE SOD 1G INJ B/10 TP,2290,3070,0
1220331,4008500060247,,ANDROTARDYL 250MG A.INJ B/1,4804,6440,0
1867911,3000001033646,,ANTAGRA 100MG/ML SOL BUV/300ML,18524,24840,0
1544031,3000000707753,3000000707753.0,APMALT 100MG/2ML S.INJ AMP B/5,8584,11510,0
8181573,5206938000555,3000000412855.0,APOTEL MAX 10MG/ML S PERF100ML,1514,2030,0
1786241,3000001195931,,AQUANATE 30MG PDRE INJ+SOV /2,696,930,0
1277831,3000000398111,,AQUANATE 60MG INJ B/1,825,1105,0
1879371,9100001879371,3000000222577.0,ARINATE 120MG PDR SOL INJ B/1,2025,2715,0
1879391,9100001879391,,ARINATE 240MG PDR SOL INJ B/1,3425,4590,0
1742581,9100001742581,,ARTEDIS 120MG PDRE INJ FL/1,1685,2260,0
1659781,3000000865705,3000000865705.0,ARTEGEN 120MG PDR INJ/1+SOL/2,1784,2390,0
8171669,3000000340202,3000000340202.0,ARTEGEN 60MG IM/IV PDR S.INJ/1,911,1220,0
1212981,3000000440414,3000000440414.0,ARTEJECT 80MG/ML S.INJ AMP B/6,2952,3955,0
2252349,9100000409691,2252349.0,ARTEM 40MG AMP INJ B/6,2243,3005,0
8043285,9100000409701,8043285.0,ARTEM 80MG AMP INJ B/6,3681,4935,0
2282675,9100000574671,,ARTEMETHER TG INJ 80MG/1ML B/6,3157,4230,0
8099469,9100000717791,8099469.0,ARTEMETHER UBI 20MG INJ B/10,3466,4645,0
8099475,9100000723181,8099475.0,ARTEMETHER UBI 40MG INJ B/10,5171,6935,0
8099452,9100000717801,8099452.0,ARTEMETHER UBI 80MG INJ B/10,6197,8310,0
2253053,9100000545121,2253053.0,ARTESIANE 100MG AMP B/10,6851,9185,0
