CIP1,CIP2,CIP3,LIBELLE,TVCODE,CESSION,PUBLIC
3400933528928,3352892,,ABUFENE 400MG CPR BTE 30,0,9257,12385
8017371,4003018,2262974,ACARILBIAL SOL EXT F/200ML,0,2044,2735
7706039,8551260,,ACCU CHEK ACTIVE LECT GLYC MG/DL KIT,0,13682,0
8234683,0,,ACCU CHEK GO BDLETTE B/25,0,8400,0
3000000689400,8028340,,ACCUZON 250MG SOL INJ B/1,0,1545,2090
8236363,8540167,8189936,ACCU CHEK ACTIVE BDLETTE B/25,0,5692,0
8236400,8540196,8189942,ACCU CHEK ACTIVE BDLETTE B/50,0,9539,0
8236452,8540173,8189965,ACCU CHEK SOFTCLIX LANCETTE B/25,0,1440,0
8098872,8028179,,ACCUZON 1G SOL INJ B/1,0,2566,3430
4015630058693,8253249,,ACCU CHEK SAFE T PRO UNO LANCETTE B/200,0,10459,0
3532281684404,8676636,,PRESERV MANIX CONTACT PLUS B/6,0,2209,0
4015630018239,8540150,,ACCU CHEK AUTOPIQUEUR SOFTCLIX KIT,0,6688,0
3000000137123,8004606,,ACEFLAMEX 100MG CPR B/20,0,1732,2315
3000000639160,8456478,,ACELODON-P 100MG/500MG CPR PELL SEC B/10,0,1388,2075
3000000639177,8456484,1451171,ACELODON 100MG CPR PELL B/10,0,1175,1755
3000000258446,8050434,,ACE MISO 200MCG CPR B/40,0,5709,7655
7112216,0,,A CERUMEN 2ML DOSE B/10,2,1797,0
8059091,0,,ACETYLSALICYLATE LYSINE 1800MG INJ B/50,0,0,0
3990000001923,8417610,8177525,ACEWEL 100MG CPR PELL B/10,0,1385,1850
2031795,0,2031795,ACFOL 5MG CPR B/25,0,1285,1715
3000000145029,8005480,8117606,ACFRAN SP F/200ML,0,2128,2845
3000000262979,8053214,8152330,ACFRAN CPR B/30,0,1821,2435
190517,8014183,2293176,ACIDE FOLIQUE TM 5MG CPR B/40,0,545,728
3000000021309,8086975,8103679,ACIDE FOLIQUE CREAT 5MG CPR B/30,0,1010,1350
3000000460771,8429151,1482101,ACIDE FUSIDIQUE UBI 2% CR T/15G B/12,0,11515,15405
3990000007611,8451771,1341171,ACIDAXIL SUSP BUV F/200ML,0,1920,2565
3000000461648,8429381,1207581,ACILOC 25MG/ML IM/IV SOL INJ AMP/2ML B/5,0,3203,4285
8016644,0,,ACINET 1G CPR B/10,0,3460,4630
8016673,0,,"ACINET 1,2G SOL INJ F/5ML",0,1458,1950
8066547,0,2278047,"ACLAV 500MG/62,5MG SACH B/12",0,3279,4385
8066553,0,2277993,ACLAV 1G/125MG SACH B/12,0,3314,4430
8066582,0,,"ACLAV 100MG/12,5ML SUSP BUV F/60ML",0,3062,4095
3000000411650,8422798,8179576,"ACLAV 500MG/62,5MG SACH B/16",0,4745,6345
3000000047293,8091769,8112891,ACLIN GEL T/15G,0,2506,3350
3000000426456,8425147,,ACLOCEN 100MG CPR B/20,0,0,0
3000000080351,8097654,8111532,ACOFAN 100MG CPR B/30,0,2081,2780
3000549,0,,ACTAPULGITE 3G PDRE SUSP BUV SACH B/30,0,2726,3645
3282499,0,,ACTAPULGITE PED 1G PDRE SACH B/20,0,1237,1655
3532281684602,8676346,,PRESERV MANIX CONTACT PLUS B/12,0,4074,0
3381669,7080315,,ACTIVOX MENTHE/EUCALY.PAST/24,2,5105,0
3381675,7040416,,ACTIVOX MIEL CITRON PAST SS B/24,2,5115,0
3399416,0,,ACTIVAROL BUV AMP 10 ML BT 14,0,3274,4380
2265197,8036196,,ACTIFED CPR B/18,0,925,1235
2031482,0,,ACTIMAG SP F/100ML,0,3044,4070
3400935167156,3516715,,ACTISOUFRE SPR F/100ML,0,3547,4745
3431278,0,3431278,ACTICARBINE CPR ENR B/42,0,1335,1785
4287352,0,,ACTIMOVE CERVICAL CONFORT COLLIER L/1,2,5167,0
4287369,0,,ACTIMOVE CERVICAL CONFORT COLLIER XL/1,2,4998,0
4284572,0,,ACTIMOVE GENU ECO CLIPS ATT 50CM M/L/1,0,15972,0
4284595,8765788,,ACTIMOVE GENU ECO CLIPS ATT 60CM M/L/1,0,17334,0
4284626,0,,ACTIMOVE GENU ECO CLIPS ATT 70CM M/L/1,0,20534,0
3532281678700,8629855,,PRESERV MANIX KING SIZE MAX B/14,0,4500,0
4210201850588,8765794,,ACTIFED ALLERGIE CETIRIZINE 10MG CPR B/7,0,4598,6150
3401545582599,4558259,,ACTIPOCHE COUSS THERM DOULEUR 20X30CM /1,2,6618,0
3401545582421,4558242,,ACTIPOCHE COUSS THERM DOULEUR 11X27CM /1,0,2778,0
4708428,0,,ACTIMOVE LOMBACARE MOTION CEINT NOIR TXS,2,31879,0
4708440,0,,ACTIMOVE LOMBACARE MOTION CEINT NOIR M,2,43599,0
4708457,0,,ACTIMOVE LOMBACARE MOTION CEINT NOIR L,2,43650,0
4708463,0,,ACTIMOVE LOMBACARE MOTION CEINT NOIR XL,2,44586,0
4708486,0,,ACTIMOVE LOMBACARE MOTION CEINT NOIR XXL,2,43651,0
3401545582360,4558236,,ACTIPOCHE COUSS THERM DOULEUR 10X15CM /1,2,2150,0
8018092,0,8018092,ACTINAC 100MG CPR B/30,0,4165,5570
8018382,0,8018382,ACTINAC PLUS 100MG/500MG CPR B/20,0,3460,4625
3400937610537,3761053,,ACTIFEDSIGN GEL B/20,0,0,0
9950051,0,,ACTIMOVE VERTEBRACE S MINERVE COURT /1,0,9198,0
9950039,0,,ACTIMOVE VERTEBRACE PS MINERV ENF COUR/1,2,0,0
9950074,0,,ACTIMOVE VERTEBRACE T MINERVE HAUT /1,0,9296,0
9950068,0,,ACTIMOVE VERTEBRACE R MINERVE MOYEN/1,0,8556,0
9950080,0,,ACTIMOVE VERTEBRACE PS MINERVE ENF /1,0,9198,0
4042809395013,8312897,,ACTIMOVE TALOVITAL ORTH CHEVIL TS,2,12464,0
4042809395020,8312905,,ACTIMOVE TALOVITAL ORTH CHEVIL TM,2,12464,0
4042809395037,8312911,,ACTIMOVE TALOVITAL ORTH CHEVIL TL,2,5300,0
4042809395044,8312928,,ACTIMOVE TALOVITAL ORTH CHEVIL TXL,0,5276,0
4042809011593,8312934,,ACTIMOVE GENUVITAL ORTH GENOU OUVERT TS,0,21144,0
4042809120004,8312940,,ACTIMOVE GENUVITAL ORTH GENOU OUVERT TM,0,12892,0
4042809120035,8312957,,ACTIMOVE GENUVITAL ORTH GENOU OUVERT TL,2,27088,0
